ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins
192,Andrews,M,COV,4.5,0.7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
275,Cartwright,G,HUL,4,0.3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
416,De Ligt,D,MUN,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
414,Heaton,G,MUN,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
221,Drakes-Thomas,M,CRY,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
2,Arrizabalaga,G,ARS,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
435,Lacey,M,MUN,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
528,Scarlett,F,TOT,4.5,1.6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
99,Milambo,M,BRE,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
72,Gannon-Doak,M,BOU,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
238,Grealish,M,MCI,6.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
459,L.Miley,M,NEW,5.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
58,Forster,G,BOU,4,3.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
374,Endo,M,LIV,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
468,John,G,NFO,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
474,Jair Cunha,D,NFO,4.5,0.3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
587,Rulli,G,MCI,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
172,Wilson,G,COV,4.5,0.6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
293,Kamara,M,HUL,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
181,Brau,D,COV,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
376,Bajcetic,M,LIV,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
227,Travers,G,EVE,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
425,Fredricson,D,MUN,4,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
395,Lewis,D,MCI,4.5,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
326,Perri,G,LEE,4.5,0.6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
23,Fábio Vieira,M,ARS,5.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
394,Alleyne,D,MCI,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
500,Romero,D,TOT,5,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
354,Jaros,G,LIV,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
100,Carvalho,M,BRE,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
513,Xavi,M,TOT,6,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
444,Jaouen,G,NEW,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
325,Darlow,G,MUN,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
143,Chalobah,D,CHE,5.5,1.9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
291,Matazo,M,HUL,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
567,Horníček,G,NEW,5,0.5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
